Profile_Id,Profile_Name,Profile_Link
188,Witold Bahr,https://pureportal.coventry.ac.uk/en/persons/witold-bahr
189,Mingwen Bai,https://pureportal.coventry.ac.uk/en/persons/mingwen-bai
190,Anthony Bailey,https://pureportal.coventry.ac.uk/en/persons/anthony-bailey
191,Elizabeth Bailey,https://pureportal.coventry.ac.uk/en/persons/elizabeth-bailey
192,Katrin Bain,https://pureportal.coventry.ac.uk/en/persons/katrin-bain
193,Narinder Bains,https://pureportal.coventry.ac.uk/en/persons/narinder-bains
194,Adam Baird,https://pureportal.coventry.ac.uk/en/persons/adam-baird
195,Lyndsey Baird,https://pureportal.coventry.ac.uk/en/persons/lyndsey-baird
196,Stuart Baird,https://pureportal.coventry.ac.uk/en/persons/stuart-baird
197,Katie Baker,https://pureportal.coventry.ac.uk/en/persons/katie-baker
198,Ali Alperen Bakir,https://pureportal.coventry.ac.uk/en/persons/ali-alperen-bakir
199,Senthooran Balasubramaniam,https://pureportal.coventry.ac.uk/en/persons/senthooran-balasubramaniam
200,Ken Baldwin,https://pureportal.coventry.ac.uk/en/persons/ken-baldwin
201,Laurence Baldwin,https://pureportal.coventry.ac.uk/en/persons/laurence-baldwin
202,Lindsay Balfour,https://pureportal.coventry.ac.uk/en/persons/lindsay-balfour
203,Jane Ball,https://pureportal.coventry.ac.uk/en/persons/jane-ball
204,Kirstie Ball,https://pureportal.coventry.ac.uk/en/persons/kirstie-ball-2
205,Brandon Ballard,https://pureportal.coventry.ac.uk/en/persons/brandon-ballard
206,Daniel Babalola Bammeke,https://pureportal.coventry.ac.uk/en/persons/daniel-babalola-bammeke
207,Mahsa Baniasadi,https://pureportal.coventry.ac.uk/en/persons/mahsa-baniasadi-2
208,Shadi Ismail Mohammad Bani Hani,https://pureportal.coventry.ac.uk/en/persons/shadi-ismail-mohammad-bani-hani
209,Frano Barbic,https://pureportal.coventry.ac.uk/en/persons/frano-barbic
210,Vicky Barclay,https://pureportal.coventry.ac.uk/en/persons/vicky-barclay-2
211,Victoria Barker,https://pureportal.coventry.ac.uk/en/persons/victoria-barker-2
212,Jacoba Magdelena Barnard,https://pureportal.coventry.ac.uk/en/persons/jacoba-magdelena-barnard
213,Jennifer Barnes-Hill,https://pureportal.coventry.ac.uk/en/persons/jennifer-barnes-hill
214,Kate Barnett-Richards,https://pureportal.coventry.ac.uk/en/persons/kate-barnett-richards-2
215,Hazel Barrett,https://pureportal.coventry.ac.uk/en/persons/hazel-barrett
216,Lorraine Barron,https://pureportal.coventry.ac.uk/en/persons/lorraine-barron
217,Craig Bartle,https://pureportal.coventry.ac.uk/en/persons/craig-bartle
218,James Bartlett,https://pureportal.coventry.ac.uk/en/persons/james-bartlett
219,Bahar Baser Ozturk,https://pureportal.coventry.ac.uk/en/persons/bahar-baser-ozturk
220,Mahdi Bashiri,https://pureportal.coventry.ac.uk/en/persons/mahdi-bashiri
221,Simran Basi,https://pureportal.coventry.ac.uk/en/persons/simran-basi
222,Muhammad Lahandi Baskoro,https://pureportal.coventry.ac.uk/en/persons/muhammad-lahandi-baskoro
223,Tom Bason,https://pureportal.coventry.ac.uk/en/persons/tom-bason
224,Tina Bass,https://pureportal.coventry.ac.uk/en/persons/tina-bass
225,Enobong Bassey,https://pureportal.coventry.ac.uk/en/persons/enobong-bassey
226,Christophe Bastien,https://pureportal.coventry.ac.uk/en/persons/christophe-bastien
227,Richard Bateman,https://pureportal.coventry.ac.uk/en/persons/richard-bateman
228,Ian Bates,https://pureportal.coventry.ac.uk/en/persons/ian-bates
229,Felix Batsch,https://pureportal.coventry.ac.uk/en/persons/felix-batsch
230,Jhonny Ismael Bautista Quispe,https://pureportal.coventry.ac.uk/en/persons/jhonny-ismael-bautista-quispe
231,Balki Begumhan Bayhan,https://pureportal.coventry.ac.uk/en/persons/balki-begumhan-bayhan
232,Imogen Baylis,https://pureportal.coventry.ac.uk/en/persons/imogen-baylis
233,Lisa Bayliss-Pratt,https://pureportal.coventry.ac.uk/en/persons/lisa-bayliss-pratt
234,Amr Bayoumy,https://pureportal.coventry.ac.uk/en/persons/amr-bayoumy
235,Marcus Beale,https://pureportal.coventry.ac.uk/en/persons/marcus-beale
236,David Beauchamp,https://pureportal.coventry.ac.uk/en/persons/david-beauchamp
237,Jayne Beaufoy,https://pureportal.coventry.ac.uk/en/persons/jayne-beaufoy-2
238,Martin Beck,https://pureportal.coventry.ac.uk/en/persons/martin-beck
239,Rebecca Beech,https://pureportal.coventry.ac.uk/en/persons/rebecca-beech-3
240,Nik Beer,https://pureportal.coventry.ac.uk/en/persons/nik-beer
241,Ty Beetseh,https://pureportal.coventry.ac.uk/en/persons/ty-beetseh
242,Jason Begley,https://pureportal.coventry.ac.uk/en/persons/jason-begley
243,David Bek,https://pureportal.coventry.ac.uk/en/persons/david-bek
244,Fatima Zohra Souad Belalem,https://pureportal.coventry.ac.uk/en/persons/fatima-zohra-belalem
245,Renato Belindro Belindro,https://pureportal.coventry.ac.uk/en/persons/renato-belindro-belindro
246,Lauren Bell,https://pureportal.coventry.ac.uk/en/persons/lauren-bell
247,Jaliyyah Bello,https://pureportal.coventry.ac.uk/en/persons/jaliyyah-bello
248,Macarena Beltran,https://pureportal.coventry.ac.uk/en/persons/macarena-beltran
249,Elizabeth Benjamin,https://pureportal.coventry.ac.uk/en/persons/elizabeth-benjamin
250,Stephen Benjamin,https://pureportal.coventry.ac.uk/en/persons/stephen-benjamin
251,Peter Benko,https://pureportal.coventry.ac.uk/en/persons/peter-benko
252,James Bennett,https://pureportal.coventry.ac.uk/en/persons/james-bennett
253,Jason Bennett,https://pureportal.coventry.ac.uk/en/persons/jason-bennett
254,Matthew Bennett,https://pureportal.coventry.ac.uk/en/persons/matthew-bennett
255,Kamal Bentahar,https://pureportal.coventry.ac.uk/en/persons/kamal-bentahar
256,Ikram Berkani,https://pureportal.coventry.ac.uk/en/persons/ikram-berkani
257,Nigel Berkeley,https://pureportal.coventry.ac.uk/en/persons/nigel-berkeley
258,Darren Berkland,https://pureportal.coventry.ac.uk/en/persons/darren-berkland
259,Eryn Berman-Roberts,https://pureportal.coventry.ac.uk/en/persons/eryn-berman-roberts
260,Ishak Adel H E Berrebbah,https://pureportal.coventry.ac.uk/en/persons/ishak-adel-h-e-berrebbah
261,Daniel Best,https://pureportal.coventry.ac.uk/en/persons/daniel-best
262,Katerina Beta,https://pureportal.coventry.ac.uk/en/persons/katerina-beta
263,Gary Betts,https://pureportal.coventry.ac.uk/en/persons/gary-betts
264,Mike Betts,https://pureportal.coventry.ac.uk/en/persons/mike-betts
265,Rachel Bevins,https://pureportal.coventry.ac.uk/en/persons/rachel-bevins
266,Gurdeep Bhachu,https://pureportal.coventry.ac.uk/en/persons/gurdeep-bhachu
267,Deepali Bhagat,https://pureportal.coventry.ac.uk/en/persons/deepali-bhagat
268,Rohit Bhagat,https://pureportal.coventry.ac.uk/en/persons/rohit-bhagat
269,Shireen Bhairon,https://pureportal.coventry.ac.uk/en/persons/shireen-bhairon
270,Romit Bhandari,https://pureportal.coventry.ac.uk/en/persons/romit-bhandari
271,Dalvir Bhangal,https://pureportal.coventry.ac.uk/en/persons/dalvir-bhangal
272,Satveer Bhella,https://pureportal.coventry.ac.uk/en/persons/satveer-bhella
273,Mohammad Rashed Alam Bhuiyan,https://pureportal.coventry.ac.uk/en/persons/mohammad-rashed-alam-bhuiyan
274,Jon Biggs,https://pureportal.coventry.ac.uk/en/persons/jon-biggs
275,Liliane Binego,https://pureportal.coventry.ac.uk/en/persons/liliane-binego
276,Elena Bini,https://pureportal.coventry.ac.uk/en/persons/elena-bini
277,Ijhar Rusli,https://pureportal.coventry.ac.uk/en/persons/ijhar-rusli
278,Dzariff Bin Zainal Abidin,https://pureportal.coventry.ac.uk/en/persons/dzariff-bin-zainal-abidin
279,Bob Bird,https://pureportal.coventry.ac.uk/en/persons/bob-bird
280,Stewart Birrell,https://pureportal.coventry.ac.uk/en/persons/stewart-birrell
281,Natalie Louise Bisal,https://pureportal.coventry.ac.uk/en/persons/natalie-louise-bisal
282,Jess Bishop,https://pureportal.coventry.ac.uk/en/persons/jess-bishop
283,Lucy Bishop,https://pureportal.coventry.ac.uk/en/persons/lucy-bishop
284,Daniel Bisig,https://pureportal.coventry.ac.uk/en/persons/daniel-bisig
285,Matthew Blackett,https://pureportal.coventry.ac.uk/en/persons/matthew-blackett
286,Joel Blackledge,https://pureportal.coventry.ac.uk/en/persons/joel-blackledge
287,Hetty Blades,https://pureportal.coventry.ac.uk/en/persons/hetty-blades
288,Rob Blakey,https://pureportal.coventry.ac.uk/en/persons/rob-blakey
289,Kirsty Blewitt,https://pureportal.coventry.ac.uk/en/persons/kirsty-blewitt
290,Will Blewitt,https://pureportal.coventry.ac.uk/en/persons/will-blewitt
291,James Blundell,https://pureportal.coventry.ac.uk/en/persons/james-blundell
292,Mike Blundell,https://pureportal.coventry.ac.uk/en/persons/mike-blundell
293,Joshua Bluteau,https://pureportal.coventry.ac.uk/en/persons/joshua-bluteau
